case_id,post_text,participant_action,seconds,evidence_usefulness,disagreement_category
calib_shortener_prize,"Congratulations, your wallet won 2 BTC. Claim now through bit.ly/free-btc-verify before the eligibility window closes.",,,,
legit_academic_research,"Our paper studies how crypto giveaway scams reuse celebrity names, wallet requests, and urgency cues across social platforms.",,,,
fraud_wallet_drainer_airdrop,Final airdrop window is open. Connect your wallet at secure-eth-airdrop.xyz now to claim free ETH before eligibility expires.,,,,
calib_consumer_warning,"Fraud warning: do not send BTC to people promising guaranteed returns, and never connect your wallet to random airdrop links.",,,,
calib_spanish_help_seeking,Un grupo dice que puedo reclamar un airdrop si conecto mi billetera. No he verificado el enlace. Alguien sabe si es legitimo?,,,,
fraud_fake_exchange_support,Coinbase support escalation: verify your wallet address and send a small ETH deposit so we can remove the account restriction.,,,,
legit_price_discussion,Bitcoin rallied after macro data came in cooler than expected. I am still not treating this as investment advice.,,,,
hardening_brand_impersonation_domain,MetaMask security update: verify your wallet at metamask-security[.]top to keep access to your tokens.,,,,
calib_developer_debugging,"Debugging a wallet connection bug in our testnet app. The issue is a stale session token, not a user-facing security problem.",,,,
hardening_redirect_mismatch_review,"The sender domain matches a legitimate project, but the link redirects to a different website: hxxps://project-update[.]click/claim. I have not verified it.",,,,
hardening_shortener_claim_lure,"Congratulations, your wallet won 2 BTC. Claim now through bit.ly/free-btc-verify before the eligibility window closes.",,,,
hardening_leetspeak_support_deposit,C0inbase support escalation: c0nnect your w4llet and send a small ETH deposit so we can remove the account restriction.,,,,
calib_market_news,Uniswap governance is discussing a possible airdrop for past users. No claim page is live and I am not sharing a wallet link.,,,,
fraud_fake_grant,Official Microsoft crypto grant for verified users. Send 0.05 BTC to validate identity and receive your bonus grant immediately.,,,,
hardening_spanish_wallet_airdrop,"Airdrop oficial: conecta tu wallet en hxxps://metamask-bono[.]top para reclamar ETH gratis. Ultima oportunidad, expira ahora.",,,,
fraud_recovery_fee_advance,Lost crypto? Our verified recovery team can restore any wallet. Pay the processing fee in BTC upfront and your funds unlock today.,,,,
ambiguous_qr_image_ocr,[Image OCR] Claim your bonus token using the QR code. Wallet connect required. No visible source account.,,,,
calib_recovery_fee,Lost crypto? Our verified recovery team can restore any wallet. Pay the processing fee in BTC upfront and your funds unlock today.,,,,
fraud_promo_code_fee,"Congratulations, your promo code unlocked 2 BTC. Send the small activation fee to the wallet address and claim your prize.",,,,
ambiguous_recovery_service,A recovery service says they charge only after funds are recovered. Has anyone used them safely?,,,,
calib_spanish_wallet_lure,Airdrop oficial: conecta tu wallet en metamask-bono.top para reclamar ETH gratis. Ultima oportunidad.,,,,
ambiguous_airdrop_announcement,A new token project says early users can claim an airdrop next week. I have not verified the link yet.,,,,
legit_regulator_warning,Reminder: do not send crypto to people promising guaranteed returns. The FTC has repeatedly warned about social media investment scams.,,,,
calib_clear_wallet_drainer,Final airdrop window. Connect your wallet at secure-eth-airdrop.xyz and claim 5 ETH before eligibility expires.,,,,
calib_fake_support_deposit,Coinbase support escalation: verify your wallet address and send a small ETH deposit so we can remove the account restriction.,,,,
hardening_spanish_consumer_warning,Alerta de estafa: no envies BTC a personas que prometen ganancias garantizadas y no conectes tu wallet a enlaces de airdrop.,,,,
fraud_hyip_guaranteed_returns,"Private crypto pool now open. Guaranteed 300% monthly returns, risk-free, automated AI trading. Deposit USDT before midnight.",,,,
hardening_spaced_wallet_defanged_airdrop,Final a i r d r o p window. c o n n e c t your w a l l e t at hxxps://secure-airdrop[.]xyz and c l a i m 5 ETH before it expires.,,,,
legit_satire_bitcoin_ceo,"I am obviously not the CEO of Bitcoin, but if you send me one imaginary coin I will send back two imaginary coins.",,,,
fraud_dm_investment_mentor,I help beginners earn daily crypto profits with my private trading method. DM me now and I will show you where to deposit first.,,,,
